DOB,sex_assigned_at_birth,local_authority,distance_km,purpose,club_member,can_swim_25m,swimming_lesson_history,school_swim_provision,open_water_confidence,water_safety_knowledge,barriers,cost_per_session_gbp,visits_Jan,visits_Feb,visits_Mar,visits_Apr,visits_May,visits_Jun,visits_Jul,visits_Aug,visits_Sep,visits_Oct,visits_Nov,visits_Dec
07/02/1993,Male,Powys,10.6,Fitness,FALSE,FALSE,Never attended lessons,N/A,1,4,Confidence,4.64,0,2,3,4,2,4,4,3,4,4,5,1
01/02/1985,Prefer not to say,Vale of Glamorgan,12.6,Social,FALSE,TRUE,Attended as a child,N/A,5,2,Cost,0.08,0,2,3,2,5,5,8,10,7,5,0,3
11/10/2021,Female,Merthyr Tydfil,12.7,Fitness,FALSE,TRUE,School-only lessons,Irregular,4,4,Cost,7.5,1,5,9,2,1,5,7,4,4,1,1,2
18/12/1959,Female,Caerphilly,15.2,Fitness,FALSE,TRUE,Attended as a child,N/A,3,3,Confidence,3.81,0,2,4,1,9,5,5,4,3,4,1,5
11/03/1963,Male,Bridgend,8.4,Leisure,FALSE,TRUE,Attended as a child,N/A,2,4,Transport,5.49,0,2,1,3,3,4,7,4,4,4,0,1
16/01/2002,Female,Torfaen,10.8,Competitive training,TRUE,TRUE,Attended as a child,N/A,2,3,Cost,2.51,0,3,2,3,4,4,5,3,3,2,2,2
01/12/1990,Male,Torfaen,16.3,Competitive training,TRUE,TRUE,Attended as a child,N/A,3,4,Time,4.83,2,0,3,2,0,6,3,4,0,1,0,1
29/11/1947,Female,Monmouthshire,8,Social,FALSE,TRUE,Private lessons,N/A,2,4,None,6.65,1,2,1,6,3,4,3,7,2,1,2,0
30/05/1965,Male,Caerphilly,15.3,Leisure,TRUE,TRUE,Attended as a child,N/A,3,4,Transport,3.67,2,0,4,5,6,7,3,5,4,4,2,3
07/11/2001,Male,Denbighshire,8.1,Fitness,FALSE,FALSE,Never attended lessons,N/A,5,3,Confidence,5.75,1,2,1,3,2,6,3,5,5,0,3,1
02/06/1974,Male,Anglesey,7.8,Leisure,FALSE,FALSE,Never attended lessons,N/A,3,5,None,2.76,6,3,3,3,5,2,5,2,3,2,3,2
23/12/1964,Male,Caerphilly,155,Competitive training,TRUE,TRUE,Attended as a child,N/A,4,4,None,5.6,2,1,2,8,4,7,5,11,6,3,3,0
18/02/1981,Female,Anglesey,3.6,Fitness,FALSE,TRUE,School-only lessons,N/A,3,3,Confidence,4.25,2,2,5,12,4,6,3,3,2,2,1,1
07/04/1963,Male,Bridgend,6.4,Fitness,FALSE,TRUE,Attended as a child,N/A,3,4,Time,3.95,2,2,2,2,9,6,5,4,1,7,3,4
03/05/2008,Female,Torfaen,6.4,Fitness,TRUE,TRUE,School-only lessons,N/A,4,5,Cost,4.36,5,3,3,4,1,2,7,10,5,1,3,0
17/11/1961,Male,Torfaen,9.6,Leisure,FALSE,TRUE,Private lessons,N/A,3,4,Confidence,2.5,2,2,4,3,2,2,2,3,2,1,3,0
27/02/1961,Female,Carmarthenshire,4.5,Social,FALSE,TRUE,Attended as a child,N/A,4,4,Transport,7.02,1,1,1,5,3,5,6,5,4,3,1,3
15/11/1976,Male,Swansea,10.6,Leisure,FALSE,TRUE,Private lessons,N/A,2,3,Cost,4.62,2,3,2,3,4,2,5,5,8,4,2,1
16/08/1961,Male,Pembrokeshire,14.5,Water confidence,FALSE,TRUE,Never attended lessons,N/A,2,4,Transport,4.21,0,2,1,5,7,3,3,6,4,4,0,3
09/03/1972,Female,Pembrokeshire,14.3,Fitness,FALSE,TRUE,Currently attending,N/A,4,4,Cost,3.87,6,4,3,3,2,2,7,5,3,2,3,2
05/08/1968,Male,Flintshire,6.9,Social,FALSE,FALSE,Never attended lessons,N/A,3,5,Time,4.29,2,0,2,5,5,4,9,3,6,4,3,1
14/09/1959,Male,Anglesey,17.8,Competitive training,TRUE,TRUE,Attended as a child,N/A,4,5,Confidence,5.16,0,3,2,2,4,3,6,2,6,5,1,5
10/05/2020,Female,Merthyr Tydfil,11.8,Fitness,FALSE,TRUE,Attended as a child,Termly,5,3,Confidence,6.67,1,3,2,2,6,2,4,4,4,5,5,4
21/01/1972,Female,Newport,7.5,Water confidence,FALSE,TRUE,Currently attending,N/A,1,4,Cost,4.91,1,2,4,7,4,3,11,9,6,2,0,0
16/12/2016,Male,Gwynedd,15.1,Fitness,TRUE,FALSE,Never attended lessons,Termly,3,2,Cost,5.47,1,2,6,5,2,10,7,2,8,4,1,1
13/03/2002,Male,Bridgend,13.3,Social,FALSE,TRUE,Attended as a child,N/A,3,4,Confidence,5.36,1,1,2,2,3,6,9,5,5,4,6,1
10/09/1950,Female,Pembrokeshire,13.6,Social,FALSE,TRUE,Attended as a child,N/A,3,5,None,2.77,1,2,4,1,2,5,11,14,2,3,1,1
09/02/1984,Male,Denbighshire,3.9,Competitive training,TRUE,TRUE,Attended as a child,N/A,4,4,Cost,5.32,0,2,2,1,4,2,0,5,3,4,2,2
24/10/2005,Male,Flintshire,8.7,Leisure,TRUE,TRUE,Private lessons,N/A,2,4,Transport,3.94,2,4,6,4,2,3,9,7,6,4,2,1
16/02/2019,Male,Swansea,15.6,Fitness,FALSE,TRUE,Never attended lessons,Termly,3,3,None,6.62,1,0,2,4,4,7,3,5,3,0,0,3
02/03/1963,Female,Blaenau Gwent,11.9,Leisure,FALSE,TRUE,Private lessons,N/A,4,5,Cost,5.96,0,0,3,0,1,2,6,2,5,3,2,2
26/09/2009,Female,Monmouthshire,12.5,Fitness,FALSE,TRUE,Currently attending,N/A,2,4,None,4.47,1,2,0,6,5,1,2,2,4,4,3,3
24/12/2014,Male,Conwy,10.8,Competitive training,TRUE,TRUE,Attended as a child,Weekly,4,4,Confidence,116.9,1,2,2,4,3,5,3,3,7,2,3,0
04/01/1970,Male,Neath Port Talbot,15.2,Competitive training,TRUE,TRUE,Currently attending,N/A,3,3,Transport,5.87,6,1,5,3,2,6,6,4,9,5,2,1
05/08/2021,Male,Blaenau Gwent,6.2,Social,FALSE,TRUE,Attended as a child,Irregular,5,4,Transport,3.72,0,2,6,4,3,5,4,4,5,5,4,1
16/02/1963,Female,Blaenau Gwent,13.5,Fitness,FALSE,TRUE,Never attended lessons,N/A,3,5,Transport,5.23,2,1,3,2,5,5,9,10,6,4,1,2
02/02/1952,Male,Bridgend,2.7,Competitive training,TRUE,TRUE,Currently attending,N/A,2,4,Transport,3.29,5,0,2,1,1,12,6,2,5,0,3,2
20/11/1979,Male,Powys,13.7,Social,FALSE,TRUE,Attended as a child,N/A,3,4,None,7.5,2,3,3,2,7,8,7,4,4,4,1,2
07/03/2015,Female,Cardiff,13.3,Competitive training,TRUE,TRUE,Attended as a child,Irregular,1,4,Time,5.94,1,2,2,2,4,4,5,3,1,5,2,1
25/12/1976,Male,Powys,1.9,Fitness,TRUE,TRUE,Attended as a child,N/A,5,5,Time,0,2,1,1,3,5,7,9,11,5,7,2,3
26/06/1988,Female,Ceredigion,12.3,Fitness,FALSE,TRUE,School-only lessons,N/A,1,4,Time,3.73,2,1,6,0,5,3,1,4,6,2,3,1
02/02/1987,Male,Flintshire,7.8,Fitness,FALSE,TRUE,Attended as a child,N/A,4,3,Transport,5.71,4,1,1,5,1,8,1,8,3,3,1,2
29/01/1973,Male,Monmouthshire,2.7,Leisure,TRUE,FALSE,Never attended lessons,N/A,3,3,Confidence,2.39,1,1,2,4,4,9,1,8,5,5,2,2
22/12/2019,Male,Vale of Glamorgan,7.8,Leisure,TRUE,TRUE,Attended as a child,Weekly,3,4,Confidence,0,0,0,3,5,5,4,2,7,2,5,3,2
09/05/2021,Female,Denbighshire,3.9,Water confidence,FALSE,TRUE,Private lessons,Weekly,1,5,Time,4.13,1,4,4,4,6,4,6,5,0,3,2,2
02/11/2017,Female,Carmarthenshire,7.8,Leisure,FALSE,TRUE,Private lessons,Termly,3,5,Transport,3.57,3,3,4,0,5,5,5,5,3,2,6,1
25/05/1969,Female,Torfaen,9.4,Fitness,FALSE,TRUE,Attended as a child,N/A,3,4,Confidence,3.75,0,2,1,2,9,5,3,6,6,0,1,0
25/09/2019,Male,Cardiff,13.4,Leisure,FALSE,TRUE,School-only lessons,Weekly,2,2,None,4.07,1,2,1,1,2,6,4,5,5,4,3,0
08/08/1969,Female,Caerphilly,15.7,Competitive training,TRUE,TRUE,Attended as a child,N/A,5,5,Transport,2.07,4,1,5,4,4,1,6,3,1,4,4,3
10/01/1960,Male,Torfaen,13.9,Social,FALSE,TRUE,Attended as a child,N/A,3,4,Cost,5.55,3,1,2,5,3,3,6,4,1,2,1,2
15/04/2005,Male,Bridgend,0.9,Competitive training,TRUE,TRUE,School-only lessons,N/A,3,4,Confidence,3.41,1,2,1,5,6,10,7,7,2,5,3,3
11/08/1979,Female,Ceredigion,16.8,Leisure,FALSE,TRUE,School-only lessons,N/A,3,4,Transport,3.56,1,1,6,4,1,7,3,3,2,2,3,1
07/02/1989,Male,Pembrokeshire,12.5,Leisure,FALSE,TRUE,Currently attending,N/A,2,4,Time,4,2,0,2,3,6,5,2,2,3,4,2,0
13/04/1749,Male,Rhondda Cynon Taf,2.2,Social,FALSE,TRUE,School-only lessons,N/A,5,3,None,5.34,3,2,3,3,4,1,4,7,1,6,0,1
10/12/1961,Male,Blaenau Gwent,15.4,Leisure,FALSE,TRUE,Never attended lessons,N/A,3,5,Confidence,3.1,2,4,3,4,3,5,2,6,2,1,3,3
18/02/2009,Male,Rhondda Cynon Taf,5.8,Fitness,FALSE,TRUE,School-only lessons,N/A,1,5,Confidence,3.05,4,2,3,3,4,5,0,8,2,3,3,1
18/02/1975,Male,Powys,11.9,Fitness,FALSE,TRUE,Attended as a child,N/A,3,4,Time,2.24,4,0,3,4,8,5,0,2,6,4,5,1
13/05/2008,Female,Vale of Glamorgan,8.7,Fitness,FALSE,FALSE,Never attended lessons,N/A,3,3,Cost,5.67,2,1,4,7,5,10,1,2,6,0,1,2
03/01/1951,Male,Vale of Glamorgan,7.8,Rehabilitation,FALSE,TRUE,Attended as a child,N/A,3,3,Transport,5.72,1,0,7,2,2,3,5,2,4,1,3,2
28/08/1961,Female,Denbighshire,16.1,Fitness,FALSE,TRUE,Attended as a child,N/A,3,3,None,5.32,2,0,4,4,4,3,10,9,3,1,2,1
16/02/1983,Female,Cardiff,8.2,Fitness,FALSE,TRUE,Attended as a child,N/A,1,4,Time,5.75,3,4,4,1,1,7,2,10,5,4,1,4
11/06/1970,Male,Conwy,1.8,Fitness,FALSE,TRUE,Attended as a child,N/A,2,4,Cost,5.5,3,0,3,4,6,5,10,3,2,1,3,1
14/11/1999,Male,Flintshire,17.1,Leisure,FALSE,TRUE,Never attended lessons,N/A,4,5,Cost,3.95,1,1,2,4,3,4,3,5,4,5,4,4
23/08/1997,Male,Anglesey,16.6,Leisure,FALSE,TRUE,Attended as a child,N/A,1,5,Time,5.37,3,2,2,6,3,6,2,3,5,4,2,4
09/10/1963,Female,Conwy,12.5,Leisure,FALSE,TRUE,Attended as a child,N/A,4,4,Time,0.13,0,2,4,1,4,5,7,11,2,5,0,1
04/11/1982,Male,Cardiff,8.7,Fitness,TRUE,TRUE,Attended as a child,N/A,1,4,None,5.97,2,1,3,7,5,9,4,11,6,2,4,3
11/06/1994,Female,Ceredigion,2.1,Fitness,FALSE,TRUE,Attended as a child,N/A,4,3,Transport,5.15,1,2,3,4,3,8,5,9,1,3,1,0
26/11/2008,Male,Denbighshire,14.3,Leisure,FALSE,TRUE,Currently attending,N/A,3,5,None,4.03,1,0,6,2,9,6,8,4,5,5,1,1
26/07/1978,Female,Gwynedd,1.8,Fitness,FALSE,TRUE,School-only lessons,N/A,3,4,Confidence,4.12,2,3,1,3,4,4,9,4,2,2,6,2
21/05/1958,Male,Carmarthenshire,1.7,Fitness,FALSE,TRUE,Private lessons,N/A,2,3,Time,3.65,1,2,5,3,5,2,2,7,3,3,2,1
03/02/1952,Male,Denbighshire,9.9,Fitness,FALSE,TRUE,Attended as a child,N/A,1,4,Confidence,5.78,3,2,3,2,2,3,4,5,1,5,1,1
20/02/2014,Female,Conwy,3.3,Social,FALSE,TRUE,Currently attending,Irregular,2,5,Cost,4.97,0,3,6,3,2,2,8,4,2,1,1,0
20/05/2022,Female,Gwynedd,0.6,Rehabilitation,TRUE,TRUE,Never attended lessons,Irregular,2,5,None,5.33,1,2,4,4,4,3,10,7,4,3,3,0
11/01/2015,Male,Merthyr Tydfil,8.6,Fitness,FALSE,TRUE,Never attended lessons,Weekly,3,2,Cost,3.92,3,1,2,2,2,6,6,4,2,4,3,2
16/03/1960,Female,Monmouthshire,2.9,Fitness,FALSE,TRUE,Attended as a child,N/A,3,5,Transport,5.31,1,2,3,5,7,5,10,5,1,2,2,4
26/07/2012,Male,Torfaen,4.4,Water confidence,FALSE,TRUE,Private lessons,Termly,3,4,None,5.33,2,1,2,4,5,3,6,4,1,3,3,1
16/07/2015,Female,Bridgend,1.8,Rehabilitation,FALSE,TRUE,Attended as a child,Weekly,4,2,Confidence,6.06,4,4,5,0,1,4,4,5,2,3,1,3
06/02/1988,Female,Flintshire,4.1,Leisure,FALSE,TRUE,Never attended lessons,N/A,3,5,None,3.74,1,4,2,3,6,3,5,2,2,4,1,5
29/10/1988,Male,Monmouthshire,13,Rehabilitation,FALSE,TRUE,Never attended lessons,N/A,3,5,Confidence,4.73,1,0,2,1,5,2,4,2,2,1,2,2
20/01/1990,Male,Pembrokeshire,14.7,Competitive training,TRUE,TRUE,School-only lessons,N/A,3,4,Transport,5.63,0,1,2,5,9,5,4,6,4,2,3,0
05/09/2028,Male,Newport,8.4,Competitive training,TRUE,TRUE,Attended as a child,Irregular,3,4,None,6.23,0,3,1,11,2,5,4,2,4,7,1,1000
05/05/1982,Female,Wrexham,10.2,Leisure,FALSE,TRUE,Attended as a child,N/A,3,5,Cost,7.14,0,3,2,2,4,3,2,3,3,1,3,2
04/07/1995,Female,Flintshire,1.1,Leisure,FALSE,TRUE,Attended as a child,N/A,4,5,None,3.26,2,3,2,5,5,4,8,2,3,2,4,1
09/11/2016,Male,Carmarthenshire,1.7,Fitness,FALSE,TRUE,Attended as a child,Weekly,2,5,Cost,2.2,4,1,2,0,3,4,4,3,4,6,3,3
13/07/1950,Male,Ceredigion,5,Social,FALSE,TRUE,Currently attending,N/A,1,4,None,6.66,0,6,4,4,6,1,0,2,0,2,2,3
17/10/1951,Female,Powys,12.4,Leisure,FALSE,TRUE,Attended as a child,N/A,3,5,Cost,3.77,2,1,3,2,7,7,2,6,3,4,1,3
28/04/2011,Prefer not to say,Powys,15.9,Fitness,FALSE,TRUE,School-only lessons,Weekly,2,5,Confidence,5.51,1,4,4,5,5,1,6,4,3,4,2,2
27/11/1989,Female,Wrexham,11.8,Social,FALSE,TRUE,Attended as a child,N/A,4,3,None,3.48,2,2,3,3,4,9,6,13,2,1,2,3
03/08/1990,Male,Monmouthshire,7.4,Social,FALSE,TRUE,Currently attending,N/A,4,5,Confidence,2.51,2,1,2,4,7,4,9,5,6,4,2,0
06/11/1975,Male,Torfaen,,Water confidence,FALSE,TRUE,Never attended lessons,N/A,1,4,Time,36.01,0,1,4,3,3,6,3,8,3,4,1,4
26/10/2000,Male,Conwy,14.2,Social,FALSE,TRUE,Attended as a child,N/A,2,4,None,5.55,1,1,2,2,7,4,4,4,3,1,4,3
10/08/1961,Female,Blaenau Gwent,8.8,Water confidence,FALSE,TRUE,Attended as a child,N/A,3,4,Time,3.91,3,2,4,2,4,3,2,4,3,4,3,1
08/07/1986,Male,Newport,13.4,Fitness,FALSE,TRUE,Attended as a child,N/A,3,2,None,4.51,1,0,3,1,3,5,9,7,3,5,4,3
02/07/1979,Female,Cardiff,9.5,Competitive training,TRUE,TRUE,Never attended lessons,N/A,2,3,Transport,6.47,1,2,0,2,4,6,10,10,1,2,2,3
17/01/1988,Male,Denbighshire,13.4,Competitive training,TRUE,TRUE,Private lessons,N/A,4,5,Cost,2.25,2,4,4,4,5,7,4,3,2,6,1,5
19/06/1958,Female,Neath Port Talbot,16.4,Fitness,FALSE,TRUE,Attended as a child,N/A,3,3,Cost,6.05,2,0,2,5,5,4,2,6,3,2,2,0
13/10/1976,Female,Wrexham,17.7,Fitness,FALSE,TRUE,Currently attending,N/A,3,4,Cost,4.58,2,3,4,3,2,4,1,7,3,5,7,4
26/07/2020,Female,Blaenau Gwent,11.4,Water confidence,FALSE,TRUE,Private lessons,Termly,1,5,Cost,5.58,3,5,2,3,1,10,6,6,6,3,0,1
14/07/2022,Male,Denbighshire,9.5,Fitness,FALSE,TRUE,Attended as a child,Termly,4,4,Confidence,7,1,4,5,2,8,7,9,1,5,3,3,3
12/02/2018,Male,Cardiff,5.1,Social,FALSE,TRUE,Currently attending,Weekly,2,4,Cost,6.51,1,4,1,7,6,2,5,4,4,6,0,1
20/03/1009,Male,Pembrokeshire,16.9,Fitness,FALSE,TRUE,Currently attending,N/A,4,4,Cost,4.33,2,0,1,4,5,2,8,5,6,5,2,5
22/06/1996,Female,Flintshire,8.5,Fitness,FALSE,TRUE,Attended as a child,N/A,3,4,Cost,5.26,3,5,2,4,1,3,6,3,3,2,2,3
18/07/2014,Female,Bridgend,2.7,Leisure,FALSE,TRUE,Private lessons,Irregular,3,4,None,3.84,2,7,1,7,0,5,6,1,2,7,3,2
10/08/2008,Female,Caerphilly,9.5,Fitness,FALSE,TRUE,Attended as a child,N/A,4,5,Confidence,3.6,4,2,2,2,3,5,9,3,6,3,1,2
15/09/1981,Female,Flintshire,2.7,Rehabilitation,FALSE,TRUE,Attended as a child,N/A,4,4,Transport,7.12,2,0,2,2,4,6,10,7,2,1,3,3
10/09/1972,Female,Rhondda Cynon Taf,10.6,Leisure,FALSE,TRUE,Currently attending,N/A,3,5,None,5.7,0,1,6,3,3,4,6,5,3,4,2,1
21/02/1960,Male,Blaenau Gwent,13,Fitness,FALSE,TRUE,Attended as a child,N/A,2,4,Cost,5.1,1,3,2,3,4,6,3,4,2,5,3,2
06/06/1971,Female,Vale of Glamorgan,6.4,Fitness,FALSE,TRUE,Attended as a child,N/A,4,4,None,3.86,4,1,4,2,4,2,2,4,6,5,2,3
13/12/2019,Male,Rhondda Cynon Taf,3.3,Leisure,FALSE,TRUE,Attended as a child,Weekly,3,4,Confidence,0,2,1,2,4,8,3,5,3,5,3,4,4
06/07/2000,Male,Cardiff,17,Fitness,FALSE,TRUE,Private lessons,N/A,2,5,Cost,0.43,4,1,1,2,5,6,5,6,5,8,5,2
14/01/2008,Female,Newport,14,Competitive training,TRUE,TRUE,School-only lessons,N/A,5,4,Time,6.37,3,1,1,1,2,2,4,4,5,1,3,2
25/05/1980,Male,Denbighshire,15.2,Leisure,TRUE,TRUE,Attended as a child,N/A,2,2,Time,5.28,2,0,1,2,1,6,11,5,2,3,1,1
03/12/1994,Male,Powys,8.1,Fitness,FALSE,TRUE,Currently attending,N/A,1,3,Transport,3.91,1,3,2,1,4,5,9,3,5,2,1,1
26/12/1987,Female,Rhondda Cynon Taf,16.5,Leisure,FALSE,TRUE,School-only lessons,N/A,1,4,None,5.01,4,2,2,7,6,5,2,3,2,0,3,3
16/02/2010,Male,Newport,9,Fitness,FALSE,TRUE,Never attended lessons,No provision,3,4,Cost,0.76,1,0,1,3,3,6,5,7,5,4,4,4
04/06/1991,Female,Monmouthshire,4,Fitness,FALSE,TRUE,Attended as a child,N/A,3,4,Transport,3.99,0,4,2,3,3,7,4,1,6,2,1,0
13/06/1952,Male,Newport,2.7,Fitness,FALSE,TRUE,Currently attending,N/A,3,2,Cost,4.48,3,4,2,2,5,8,8,5,3,3,4,1
12/08/1964,Male,Monmouthshire,6.5,Social,FALSE,TRUE,Private lessons,N/A,3,5,Cost,3.94,1,2,3,3,7,6,5,9,6,3,4,3
15/09/1995,Male,Ceredigion,2.9,Social,FALSE,TRUE,School-only lessons,N/A,3,4,Cost,2.55,2,0,2,1,3,4,2,3,5,2,4,2
09/06/1957,Male,Merthyr Tydfil,19.8,Competitive training,TRUE,TRUE,Attended as a child,N/A,3,4,None,6.76,3,2,1,1,4,4,7,5,1,6,2,0
06/06/1981,Female,Rhondda Cynon Taf,2.5,Fitness,FALSE,TRUE,Never attended lessons,N/A,1,4,Cost,3.56,4,1,1,3,8,6,8,3,4,1,3,6
26/12/1978,Male,Carmarthenshire,8.2,Fitness,FALSE,TRUE,Attended as a child,N/A,5,3,Transport,7.54,1,1,1,3,4,2,3,8,4,3,2,1
01/02/1961,Female,Carmarthenshire,8.4,Leisure,TRUE,TRUE,Attended as a child,N/A,2,5,Confidence,3.81,3,1,3,5,5,4,8,10,2,4,1,3
26/10/1966,Male,Gwynedd,5.8,Rehabilitation,FALSE,TRUE,Attended as a child,N/A,5,3,None,6.97,1,2,1,5,1,5,3,11,4,3,2,1
19/10/2017,Female,Pembrokeshire,10.5,Water confidence,TRUE,TRUE,Private lessons,Termly,2,4,None,5.8,5,0,1,6,3,4,6,3,2,3,3,0
05/09/1995,Female,Merthyr Tydfil,3.9,Fitness,FALSE,TRUE,Never attended lessons,N/A,4,5,Time,8.06,7,3,4,4,2,4,5,4,3,2,3,1
15/08/1995,Female,Swansea,14.2,Fitness,FALSE,TRUE,Private lessons,N/A,2,4,None,0.33,3,5,2,1,4,3,4,4,2,1,5,2
18/12/1979,Male,Carmarthenshire,6.3,Rehabilitation,FALSE,TRUE,Attended as a child,N/A,1,4,Time,5.63,1,1,2,3,2,5,6,3,3,0,2,0
17/09/1993,Male,Newport,10.8,Competitive training,TRUE,TRUE,Attended as a child,N/A,4,4,None,7.49,1,1,2,5,2,5,6,8,2,4,1,1
04/08/1961,Male,Merthyr Tydfil,15.5,Competitive training,TRUE,TRUE,Never attended lessons,N/A,4,5,Time,2.34,5,1,2,1,3,3,5,2,6,7,1,2
15/05/1948,Female,Denbighshire,16.1,Leisure,FALSE,TRUE,Attended as a child,N/A,3,5,Cost,£2.28,3,2,4,5,3,8,10,2,1,4,2,1
11/09/1961,Male,Rhondda Cynon Taf,16.8,Water confidence,TRUE,FALSE,Never attended lessons,N/A,4,4,Transport,3.66,2,5,4,3,6,3,5,4,4,3,3,6
04/10/2022,Female,Torfaen,13,Leisure,FALSE,TRUE,School-only lessons,Irregular,3,4,Confidence,6.99,1,0,4,2,2,4,6,6,4,5,2,0
23/10/1996,Female,Cardiff,7.3,Social,FALSE,TRUE,Private lessons,N/A,4,5,Transport,4.26,1,0,4,5,2,3,5,13,1,0,0,1
16/07/1961,Male,Monmouthshire,9.3,Water confidence,FALSE,TRUE,Attended as a child,N/A,3,2,Transport,4.28,2,2,5,4,7,5,5,3,1,1,1,1
01/11/2020,Female,Flintshire,14,Competitive training,TRUE,TRUE,Attended as a child,Termly,3,2,Confidence,2.52,0,2,2,1,1,5,2,5,7,4,4,0
23/03/1953,Male,Wrexham,17.8,Fitness,FALSE,TRUE,School-only lessons,N/A,3,5,None,0.13,0,2,5,3,6,8,5,5,3,3,3,2
25/11/1951,Male,Merthyr Tydfil,3.5,Fitness,FALSE,TRUE,Attended as a child,N/A,3,3,Cost,5.36,0,3,0,3,5,4,7,2,4,0,5,2
05/08/1996,Female,Anglesey,7.2,Leisure,FALSE,TRUE,Never attended lessons,N/A,4,2,Time,2.39,2,2,4,4,4,2,4,3,3,2,3,0
28/09/2014,Female,Blaenau Gwent,15.5,Leisure,FALSE,TRUE,Attended as a child,Termly,2,3,Time,5.59,1,3,1,1,3,3,8,3,3,6,1,4
19/08/1961,Female,Denbighshire,8.1,Social,FALSE,TRUE,School-only lessons,N/A,2,4,None,6.65,1,0,2,5,7,3,3,1,4,4,0,1
13/12/1986,Male,Merthyr Tydfil,8,Fitness,FALSE,TRUE,Private lessons,N/A,3,5,None,3.89,2,4,3,2,4,3,2,5,4,2,5,3
24/02/1972,Male,Pembrokeshire,7.7,Fitness,TRUE,TRUE,Attended as a child,N/A,3,4,Time,5.24,3,1,4,12,4,7,5,5,6,3,2,0
20/11/1979,Female,Gwynedd,11,Competitive training,TRUE,TRUE,School-only lessons,N/A,2,3,Confidence,2.23,2,2,2,2,4,6,4,1,2,2,1,4
08/11/1999,Female,Ceredigion,18,Fitness,FALSE,TRUE,Never attended lessons,N/A,3,4,Cost,4.87,1,3,1,2,7,1,7,2,4,4,4,1
17/03/1964,Female,Cardiff,9.1,Fitness,FALSE,TRUE,Private lessons,N/A,5,5,Confidence,3.6,4,3,3,5,5,3,2,2,4,5,5,0
08/10/1991,Male,Powys,7,Leisure,FALSE,TRUE,Attended as a child,N/A,2,5,Time,5.29,5,0,3,2,2,2,5,3,3,5,2,5
24/09/1971,Female,Wrexham,5.1,Leisure,FALSE,TRUE,School-only lessons,N/A,3,4,None,4.35,0,1,3,4,3,3,6,6,8,5,1,1
27/01/1961,Male,Anglesey,1.2,Fitness,FALSE,TRUE,Attended as a child,N/A,4,5,Time,4.32,3,2,2,2,4,1,10,6,3,2,2,0
18/05/1965,Male,Cardiff,10.3,Social,FALSE,TRUE,School-only lessons,N/A,3,5,Cost,5.81,0,1,0,7,5,5,2,11,7,2,0,3
05/02/1971,Female,Powys,11.7,Leisure,FALSE,TRUE,Currently attending,N/A,5,2,Confidence,2.17,2,1,3,1,2,4,11,6,4,1,2,1
21/08/2011,Male,Merthyr Tydfil,6.7,Social,FALSE,TRUE,Never attended lessons,Irregular,4,2,Transport,6.27,3,3,3,2,2,5,6,2,3,1,2,1
